person_id,clicks,median_ms,p25_ms,p75_ms,iqr_ms,sd_ms,mean_ms,typical_range
7ea014df-4e0f-556a-b7e7-a3a8d42fc053,284,106.0,87.8,128.0,40.2,300.7,181.4,normal
5ef6e17c-8e2a-52b5-b0e3-409ec426e21d,122,78.0,62.2,93.8,31.5,175.6,99.0,ballistic
2a0c2f39-0e74-5a61-b01c-982fc125f030,91,96.0,81.0,114.0,33.0,170.5,124.6,normal
962b844b-1102-5f23-a995-3f7ded0772bc,76,115.0,97.8,131.0,33.2,365.3,232.9,normal
0338277d-d998-5049-8894-fc41e6ed5e99,72,120.0,113.0,140.5,27.5,23.1,127.2,deliberative
7c79c1a9-7bfa-5aff-80fe-74e96f1bddf1,66,117.5,101.0,137.8,36.8,30.0,123.1,normal
f87142df-35ec-552f-9830-a96ce6b8675f,65,116.0,100.0,133.0,33.0,26.7,117.8,normal
5151f646-fc8b-513d-ae18-5f43d3b92ff2,60,81.0,60.0,105.2,45.2,232.2,141.4,normal
8e0867f0-bb42-5960-a6cd-b78829da0e75,56,139.0,124.2,150.0,25.8,30.8,132.4,deliberative
3671b324-61b7-5483-8d2b-17e23861c9b8,56,118.0,113.0,131.5,18.5,135.2,146.2,normal
ab3bf545-8922-564b-a766-02a9dc483e96,56,95.5,79.8,110.5,30.8,325.6,181.7,normal
7824d2c7-61cf-5c4b-81fa-e2530b12ab5d,54,113.5,92.2,139.5,47.2,29.8,114.4,normal
c40c7a41-7f21-5a89-862e-c3594c6dc923,54,109.0,104.8,117.0,12.2,11.9,110.5,normal
30f08baf-8f50-5ccd-a8b2-42d9b2e83251,52,133.0,117.8,150.0,32.2,20.1,132.4,deliberative
7bb059a4-4dfd-5ba9-912e-dc1873059804,48,95.0,75.0,109.2,34.2,292.1,151.5,normal
8092f00d-c117-5c5f-b241-985f5060d923,48,127.0,105.8,146.0,40.2,203.4,164.3,deliberative
a8d35290-4e06-5a5b-80f0-98b5a142efac,48,99.5,83.0,131.2,48.2,533.9,295.2,normal
57520c1c-efa9-584a-aa3f-e51cc08c37dc,44,89.5,78.0,102.0,24.0,39.5,95.8,normal
82470eaa-f230-54d5-95bc-64d8f06bb90c,44,93.5,77.0,115.2,38.2,265.8,165.1,normal
2de8ce80-de27-5f7f-b2f1-24174245d852,44,63.5,49.0,83.0,34.0,36.6,75.1,ballistic
56039eb4-7d6f-5d18-88af-400bd3a1440e,44,99.0,93.0,132.0,39.0,351.4,211.9,normal
590b80da-ad35-5d96-8945-a299c9aebbe0,44,91.5,84.0,100.0,16.0,14.0,93.2,normal
c3f9b4d5-fee4-57bd-8e0f-3bd6395f3fae,42,91.5,74.0,114.0,40.0,32.3,95.1,normal
08dae14e-71b1-5c45-9c2e-a241c5213591,42,116.0,111.0,132.0,21.0,289.4,179.8,normal
1b256ce5-57db-56c0-9ffb-fa80dd3385ee,40,120.5,115.2,150.0,34.8,27.6,131.2,deliberative
cc3de720-a035-5da2-bb54-7e762ce5e591,38,99.5,85.5,171.5,86.0,419.2,306.3,normal
97135d30-035d-5118-9323-2c59d0a7cec2,38,97.5,70.2,118.5,48.2,340.4,212.9,normal
9623e89d-f0b5-5a00-a9ed-f7c402cf45cf,36,134.0,101.0,157.0,56.0,45.4,126.2,deliberative
fe730004-5233-5d32-a025-ca4f33fe0b43,32,132.0,115.0,151.5,36.5,35.2,125.0,deliberative
f6cb2353-2142-5a76-97a8-d12f450f005b,32,149.0,132.8,158.0,25.2,47.5,155.1,deliberative
045f0076-c3c9-52cb-b3b4-c824eeb7ffa2,30,111.0,89.2,126.2,37.0,366.2,210.0,normal
e58bacd2-cc08-5ba1-84bd-73c120c63ff0,28,141.5,133.0,151.0,18.0,13.0,142.7,deliberative
366bf40d-1220-564c-8408-fb09a855e6c3,28,85.5,68.5,108.5,40.0,32.9,88.8,normal
268fafd0-7c04-5363-a7af-2f018a1fbdf5,28,103.0,93.0,126.8,33.8,22.6,110.9,normal
6d5af87c-219f-59d6-a74d-25c548cdeb1d,27,117.0,112.0,129.0,17.0,29.5,121.7,normal
6a5b88b2-f596-596e-90f2-d47f37e51b19,26,150.0,122.2,174.0,51.8,52.2,151.3,deliberative
5cd8e1fe-e4c1-5907-89be-5073b40ce157,26,133.0,116.2,134.0,17.8,23.2,132.1,deliberative
3494581f-288c-5204-9f85-213e874a339b,26,154.5,101.2,161.8,60.5,40.7,131.7,deliberative
77689506-c932-5353-b16b-f19b291d3b19,25,108.0,107.0,116.0,9.0,14.5,113.0,normal
d4c13fb0-34de-5f24-a685-1da6d1b89047,25,133.0,117.0,149.0,32.0,23.8,132.2,deliberative
cd6cdf1e-d285-50b4-a104-1ba2dfd4b27a,24,113.5,99.8,134.2,34.5,21.5,116.3,normal
e8269477-ab7f-593d-9f25-b1e7fafdc167,24,138.5,114.8,159.2,44.5,30.2,140.5,deliberative
a28ad1fa-6ad0-5510-9cf5-91a7fbe735ae,24,127.5,88.0,189.5,101.5,395.0,244.0,deliberative
8d3a95d2-98fe-50f3-ba81-f701fb218422,24,117.0,105.2,133.2,28.0,22.4,117.8,normal
5ecd3ddd-dd90-5f6e-830a-7d5ca8b0065a,24,135.5,101.5,138.8,37.2,22.0,124.5,deliberative
96dfe14a-5ebb-597d-aa3f-f9bcff2e6f28,23,117.0,116.0,133.0,17.0,19.4,125.8,normal
9459f78c-adf8-5e2d-a096-e11eac44fdd7,22,141.5,125.0,157.5,32.5,39.0,129.5,deliberative
53e54a7d-c19f-5479-b103-788de1d57b7b,22,125.0,104.8,133.8,29.0,22.7,120.7,deliberative
3974e268-df08-5048-bd3e-0533ccab4a65,22,133.5,118.5,151.8,33.2,22.0,134.5,deliberative
5b84b149-6434-5fe2-9e25-ed0a4097f030,22,117.0,93.0,152.8,59.8,99.9,146.6,normal
f049284e-f356-54bc-a8e9-905bd487cd1a,22,101.5,98.2,128.5,30.2,19.9,108.6,normal
98844d52-cd1f-50ca-a7dc-ea6887edf74e,22,116.5,96.5,171.0,74.5,349.6,276.6,normal
bfb436fd-7629-5543-a89f-8bd38165ee7a,20,116.5,106.8,140.2,33.5,25.5,119.4,normal
97792b55-429e-54e6-ae61-991da6363f1b,20,95.5,78.0,99.2,21.2,407.0,225.4,normal
92f835c4-cc69-5324-b6a3-a82c52654397,20,117.0,87.8,133.2,45.5,24.3,112.8,normal
bc4e1245-0c10-5787-a03d-069af8afae1f,20,138.5,119.2,158.2,39.0,41.5,135.9,deliberative
7a5b5722-fc13-5caa-8bcc-34f52ee2a61c,20,116.0,103.0,126.2,23.2,19.5,117.4,normal
124f0e23-570e-5cec-89c5-6d64048268d7,20,92.5,73.8,115.5,41.8,27.7,94.6,normal
0e2007b3-bf4a-56dc-b9b3-70138b45b35f,20,121.0,108.0,130.2,22.2,13.1,121.1,deliberative
2b02300f-ebbd-5955-ad3c-fc8075c1cab0,19,106.0,96.0,134.5,38.5,29.3,116.5,normal
091e0eaa-b2fa-59a5-b69b-a78a8cdec0ee,18,104.5,82.2,233.8,151.5,453.6,333.2,normal
0e91e2b8-1df2-5198-8e1f-8befb5029ea7,18,158.5,143.0,176.0,33.0,27.6,159.3,deliberative
deec992b-2aa3-5bba-8b73-1b9389777be4,18,158.0,125.2,167.0,41.8,28.2,143.8,deliberative
34900b75-cb5a-5b5d-8e4d-bfb35a8dfb29,18,161.0,146.2,167.0,20.8,31.0,147.9,extended
81e87c58-2a88-5908-89b4-9ec371328ab6,18,132.0,115.0,148.5,33.5,24.6,130.8,deliberative
ba2de577-bc60-5764-a7a4-d5e3b3b6fa94,18,141.0,133.0,162.0,29.0,20.0,144.1,deliberative
d57cedf5-b8a8-50a8-ab44-9c0d6243fa95,18,199.0,116.2,207.0,90.8,151.4,222.6,extended
46a37b70-42b5-540a-b6d7-a46a54798047,18,124.5,119.2,145.5,26.2,487.5,380.4,deliberative
b8f36214-9cdb-598c-b059-2df02a077b61,18,96.0,81.8,110.8,29.0,29.1,102.7,normal
91b20bf7-c045-509c-a10e-696241755757,18,98.0,89.5,113.8,24.2,16.4,100.4,normal
6c1d8d40-d7a3-57b0-ab20-2fca9f6a00df,18,109.0,98.2,116.0,17.8,21.5,104.2,normal
8b304af5-0596-577f-a8a7-7c1ea80a4204,18,134.0,126.5,142.8,16.2,18.7,131.4,deliberative
52a73b3c-f324-5f25-be60-d7ca2d340cdc,18,143.5,124.2,150.8,26.5,40.2,126.1,deliberative
b0905f00-fe8b-565a-869d-7977e8aa399a,18,141.5,133.2,143.0,9.8,10.4,139.5,deliberative
4be191d2-72da-5b7a-bcd4-e9d847c9d321,17,126.0,117.0,133.0,16.0,18.1,125.4,deliberative
5387239e-4bec-5ddc-8617-3227698bfc40,17,116.0,100.0,116.0,16.0,12.3,110.5,normal
e3d126aa-c67e-53f1-8ab6-71f5172d2003,17,133.0,132.0,150.0,18.0,20.7,138.3,deliberative
a3975335-0066-5a29-9c4c-e674256636e6,17,166.0,144.0,169.0,25.0,30.4,151.2,extended
e814333b-d726-5b71-a656-e0ef6dff8be8,16,166.0,150.0,176.2,26.2,20.3,164.2,extended
fd28c104-09b9-59d5-89e2-0592f5df5b30,16,121.5,96.5,136.5,40.0,34.2,117.5,deliberative
af7e63e2-1753-5b06-a5ec-e2703454f1f7,16,121.0,107.5,132.2,24.8,18.0,119.6,deliberative
3fb2efea-b4a8-5e93-86b7-338e5c6f498f,16,102.0,100.8,106.0,5.2,13.6,103.9,normal
83a681b9-127c-5dce-843d-dd2b5ef5b13f,16,124.5,114.8,135.8,21.0,15.5,127.1,deliberative
b8e372ee-1e96-5508-a363-3d71acfe295e,16,137.0,105.8,168.2,62.5,49.0,131.8,deliberative
04b50d58-b2a1-5052-8548-cb36f87a75ab,16,180.5,154.5,220.2,65.8,488.1,317.9,extended
a2d748a5-e973-5a55-8e17-01bb07ba59f2,16,135.5,119.5,149.2,29.8,24.8,133.9,deliberative
bfb04105-7e79-5851-9a2c-838abf0971e1,16,117.0,96.2,121.0,24.8,22.8,104.1,normal
b6f2fef0-26c2-55d6-b74d-cc228357f172,16,119.0,100.0,134.5,34.5,43.8,118.5,normal
3c740ab4-3b1c-5a23-b99e-7ba5cca0cd32,16,111.5,100.0,121.8,21.8,17.5,112.6,normal
e91e26b4-7e44-56e5-b51d-13384209606f,16,117.5,86.8,162.0,75.2,37.6,125.1,normal
62924c1a-e13c-5312-bbae-f492dbd1e450,15,74.0,43.0,80.0,37.0,159.8,101.9,ballistic
0767c87b-1ffc-5a25-ba7f-26ab282d275a,14,99.0,86.0,111.5,25.5,15.8,98.2,normal
1a867cfe-e41e-5365-9b5d-1c33d7caaad1,14,116.5,110.0,131.0,21.0,15.6,118.3,normal
cd44df14-26ae-5762-bd23-b87c4a2f87c8,14,93.5,84.5,139.5,55.0,33.9,106.6,normal
399cea06-3b84-58f3-9d24-d44daaf4ce71,14,134.0,109.0,161.5,52.5,36.2,139.3,deliberative
c344a340-00f9-53ff-bc20-fcb483db7d53,14,128.0,106.5,146.5,40.0,53.9,143.4,deliberative
8fec4656-f952-57a6-a5fc-dd5e7a74f1da,14,105.0,94.5,131.0,36.5,25.3,113.8,normal
c6954733-d193-56a5-b692-561dee700137,14,92.5,81.5,99.2,17.8,14.7,94.1,normal
7ff4e455-a469-56b1-baca-f6959b49cd97,14,109.5,84.8,155.5,70.8,53.3,115.1,normal
e740b735-bc58-5bc8-aeea-430fdd73aa53,13,125.0,117.0,133.0,16.0,144.4,165.9,deliberative
8863768c-6611-527c-9035-be4068273e62,13,100.0,83.0,117.0,34.0,29.1,104.4,normal
02be78e2-60b0-5c4b-a16f-034bfbb4b940,12,66.5,61.8,97.5,35.8,31.9,83.3,ballistic
865095a2-8ecc-5ea5-8425-88c687fc44bc,12,111.0,80.5,141.2,60.8,47.4,112.8,normal
16012df7-0373-5b54-9a4b-7d56160e94cd,12,124.0,86.8,156.2,69.5,36.5,121.7,deliberative
ce40abca-2cdd-56b1-8df4-e815912ec797,12,139.5,133.8,150.0,16.2,8.9,141.9,deliberative
4f6d626a-e395-5d6e-b69b-800f1951c44a,12,83.5,72.8,489.0,416.2,665.9,463.3,normal
f1445296-97b7-5f6d-8dab-c8d549271bb8,12,133.0,116.0,149.0,33.0,23.4,131.0,deliberative
69a50788-f816-5529-b712-c29c4b50c462,12,154.0,134.8,165.2,30.5,14.6,151.4,deliberative
b01dd2ed-e77b-5fd8-a762-704723f38e42,12,125.0,117.0,150.0,33.0,33.4,129.1,deliberative
587722c0-a396-52e4-869d-52f2b0d2476a,12,171.0,157.8,198.5,40.8,19.3,175.0,extended
4e48b3de-eeb9-528e-a78b-86d3c0ee86a8,12,129.0,124.0,158.0,34.0,24.4,136.1,deliberative
bfda5ecb-6dba-56a7-85ea-8808035b6d76,12,138.0,116.5,151.5,35.0,39.0,128.4,deliberative
a022771a-29e1-5ebe-86ca-999863c40d72,12,92.0,76.8,150.2,73.5,46.6,104.8,normal
d67b0569-0e7f-5309-9140-caf7966007d3,12,154.0,88.0,158.0,70.0,40.7,132.5,deliberative
ce0fd840-c643-58b6-808e-8bfbffedcc8a,12,136.5,107.5,152.2,44.8,27.8,133.2,deliberative
67de90cb-2b21-5b8f-8c5d-e329733202af,12,100.5,89.8,116.5,26.8,22.4,107.2,normal
0e39ac07-0d2e-504b-8214-8d694879d1c7,11,88.0,52.0,106.0,54.0,33.3,77.6,normal
40dc797b-8533-5324-8de8-c7e7431ccec5,11,90.0,83.0,94.5,11.5,13.4,87.2,normal
bc59e81e-5617-5ff2-b855-973c74579466,11,149.0,133.0,153.0,20.0,19.4,141.5,deliberative
6fda4807-c89e-5c86-a582-55c6ea03e7bc,10,94.0,82.8,99.2,16.5,20.5,88.7,normal
69a0e2d3-599d-5b9c-93b2-0740b6d67004,10,166.0,143.2,167.8,24.5,14.5,155.8,extended
7aa96fe8-020a-50c4-82d7-2e6d77129a06,10,93.5,75.2,121.5,46.2,44.8,107.2,normal
bd69a0df-2c15-5f3b-8e4c-86e609825b0b,10,123.5,108.8,128.5,19.8,548.5,379.9,deliberative
8ab6ff4d-e365-5fe4-a587-af7e13350b76,10,133.5,117.2,152.8,35.5,21.9,138.6,deliberative
cb6a927d-9681-569c-9531-2d7f8abad98b,10,114.5,100.2,125.5,25.2,13.8,114.9,normal
32820a2a-b735-5034-9df6-250ab697cf15,10,116.0,91.8,142.0,50.2,36.7,114.6,normal
a99712ca-18f5-5afd-8913-0cf820f15ce1,10,118.5,81.5,650.8,569.2,534.5,423.8,normal
ba26a809-ebb9-5ca2-ad43-486099650f4c,10,100.0,74.2,103.8,29.5,21.5,96.1,normal
5b8f8f20-4459-5e19-8435-d13b7ff55845,10,117.0,116.0,129.8,13.8,17.5,116.4,normal
6a350aca-8887-5376-9c02-a554998ba172,10,159.5,149.5,167.0,17.5,24.1,151.9,deliberative
cdd200ff-0d7d-5588-b688-af823080848a,10,136.0,122.0,150.8,28.8,41.1,121.5,deliberative
4da68ea6-f313-5dfe-9328-55bbb9bb5dc0,10,109.0,96.5,151.5,55.0,32.7,119.5,normal
c8a22ea1-fe9e-5b13-a976-22e8b95e0bdf,10,106.0,96.2,130.8,34.5,323.9,212.2,normal
cc8c133e-760e-5388-b68b-5d18551b591b,10,139.5,133.0,141.8,8.8,25.7,134.7,deliberative
e842ecfe-9a2a-531a-a8b4-36072d5c0084,10,141.0,130.5,151.0,20.5,14.4,137.5,deliberative
ed02e0b8-4331-5066-8303-205f95ebfe48,10,132.0,108.2,155.5,47.2,25.8,132.8,deliberative
2ee6be16-db9e-5b8a-9c52-b4242e8678fc,10,134.0,133.0,135.0,2.0,20.2,128.4,deliberative
9062cc1e-8bac-500d-bc37-5d56ea3f403e,10,120.5,105.0,125.0,20.0,13.9,119.2,deliberative
56e854b0-d0b4-53cd-8a18-322128773618,10,128.0,94.8,146.8,52.0,38.8,125.0,deliberative
90d1e1ff-9004-5a35-8e0e-8e79a4915bff,10,133.5,116.2,137.5,21.2,17.2,126.3,deliberative
073391d9-7a0e-527f-bc25-875b5f1ae32a,10,140.5,93.2,432.0,338.8,260.0,300.6,deliberative
91f8c409-9d40-5fe8-8343-e3b6cba95961,10,101.5,79.0,112.8,33.8,18.2,99.2,normal
45b77df3-190a-5570-97f4-6a8903233385,10,107.5,85.0,109.8,24.8,14.4,101.1,normal
f9576a49-cdb3-5d42-b051-2c2eace7952b,10,116.5,99.5,120.5,21.0,30.9,103.6,normal
c1b56f37-abdf-5d27-9c81-a6d6d77763a7,10,143.0,141.0,150.5,9.5,29.7,133.6,deliberative
6a4e57f5-37eb-538e-8b04-48d1fbcd8682,10,142.0,122.2,150.0,27.8,19.4,133.0,deliberative
54e9fea1-3f65-5e16-a39c-f4b94e0e1ea6,10,129.5,116.5,134.8,18.2,17.0,126.3,deliberative
f7e09ced-d9d0-58ff-9d6a-fc83c8ec9f5e,10,102.0,99.5,116.8,17.2,16.6,102.0,normal
ad718654-c956-563b-8a4c-e4c1c83ef3a5,10,90.5,67.2,95.8,28.5,16.5,82.7,normal
dd4d448d-e424-5301-b354-90a455eb3cf1,10,134.0,117.5,153.8,36.2,17.7,135.5,deliberative
8420326f-974c-596b-bf98-f7a85d350c92,10,97.5,91.5,108.5,17.0,13.3,97.5,normal
b27e9318-352c-5468-9ce3-c168fe25663a,10,92.0,83.2,93.8,10.5,28.2,97.3,normal
8d8dd38a-0e61-5327-be80-cdef2c6cc9f1,10,159.0,133.2,164.8,31.5,38.4,137.9,deliberative
fe09d86b-b7cb-5069-a1be-5a75138b197f,10,125.0,108.2,134.5,26.2,22.7,120.4,deliberative
316d8487-bd7a-5e39-a118-08deec70d88e,10,101.0,100.2,131.8,31.5,20.5,116.4,normal
24fa061c-7d84-5cc9-9d88-6f777690f78e,10,134.0,133.0,149.8,16.8,167.2,215.9,deliberative
9b101237-af99-5062-b792-068ef849315b,10,124.0,101.0,138.8,37.8,46.2,137.1,deliberative
0c973059-b41b-5f09-9472-692ec1d69aec,10,167.5,165.2,168.0,2.8,28.3,176.8,extended
fe481794-9b70-57d8-b546-25c862b040f0,10,150.5,116.5,158.8,42.2,22.7,139.1,deliberative
98365c08-4dc4-5930-9db1-b2d1499dae8a,10,106.0,103.5,115.5,12.0,34.5,100.7,normal
05007f1c-8cd4-5d3a-9f60-71b857fb3825,10,133.0,133.0,133.0,0.0,15.2,134.5,deliberative
33ffac02-97e0-54c7-b9b7-d60551bd2764,10,133.5,108.2,139.5,31.2,23.6,123.1,deliberative
85a259d8-934a-5989-80c2-b424c1b029b3,9,106.0,100.0,120.0,20.0,18.9,111.6,normal
75b3158e-6a66-5482-9d7a-d293b593894a,9,89.0,78.0,114.0,36.0,26.4,99.3,normal
d985aadb-38f5-57b0-9944-ebd1ffe06d9d,9,118.0,103.0,145.0,42.0,50.2,120.3,normal
dd02dfc2-6ce2-58af-b812-fe5a94de6bfd,9,125.0,118.0,134.0,16.0,19.4,120.0,deliberative
439a3915-9d1f-5295-978e-f8d23bd187fa,9,116.0,102.0,133.0,31.0,19.3,115.9,normal
3f69bdc0-743b-52f4-a40f-1a52b9b8d9c4,9,116.0,110.0,116.0,6.0,16.4,113.6,normal
670f6fa6-9718-5e0f-ae42-59cb8309e26b,9,150.0,125.0,151.0,26.0,36.8,127.2,deliberative
e73392fc-6a15-5b87-872a-25a762016831,8,111.5,74.8,116.2,41.5,31.5,95.2,normal
39b336a2-1534-5d62-a705-75ae40181993,8,113.0,62.5,468.5,406.0,586.8,417.5,normal
93198bcf-2665-5f07-89f2-a06813d67129,8,133.0,132.0,133.0,1.0,0.7,132.8,deliberative
aad30028-5ce1-553d-bb24-748986e3ea75,8,98.5,87.2,106.0,18.8,13.2,95.1,normal
a262f940-a2ab-5e46-bafe-e0fd96b8a05f,8,126.5,115.8,133.0,17.2,21.5,118.1,deliberative
84168b40-de91-518a-8504-9818899fb023,8,91.5,83.0,105.8,22.8,21.2,97.9,normal
e188d970-1775-5d07-9a11-c5792c47bc77,8,103.5,87.5,124.0,36.5,34.7,108.0,normal
a286e843-ffda-5985-b663-9a68e63fe0e4,8,140.0,126.5,150.2,23.8,25.4,142.5,deliberative
af6a7f0a-8323-52bb-8ae3-e47883cb2dea,8,132.5,116.0,154.0,38.0,26.6,136.8,deliberative
bebf3ec0-3ff7-5d45-a0aa-df9bd6f15257,8,79.5,73.8,82.0,8.2,9.0,75.8,ballistic
